StationName,IndexNbr,RegionId,RegionName,Latitude,Longitude,CountryArea,CountryCode,StationId,IndexSubNbr,Hp,Hha
KINGAROY AIRPORT,94549,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-26.57 ,151.83 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6167,0,434,454
STANTHORPE LESLIE PARADE,94550,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-28.65 ,151.93 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,13500,0,784,784
OAKEY AERO,94552,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-27.40 ,151.73 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6170,0,407,405
APPLETHORPE,94553,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-28.62 ,151.95 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,10676,0,872,871
WARWICK,94555,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-28.20 ,152.10 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6171,0,475,475
TENTERFIELD (FEDERATION PARK),94556,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-29.03 ,152.02 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6172,0,838,838
JIMNA FORESTRY,94557,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-26.65 ,152.45 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,11833,0,523,523
TOOLARA (KELLY),94558,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-25.97 ,152.85 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,11474,0,143,143
UNIVERSITY OF QUEENSLAND GATTON,94562,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-27.53 ,152.33 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,12673,0,94,94
RAINBOW BEACH,94564,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-25.90 ,153.08 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6173,0,15,14
GYMPIE,94566,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-26.17 ,152.63 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,11983,0,65,64
MARYBOROUGH,94567,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-25.50 ,152.70 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6176,0,10,6
